,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat
155,diosgenin,axonal atrophy,"Diosgenin, a yam-derived compound, was found to facilitate the repair of axonal atrophy and synaptic degeneration and improve memory dysfunction in a transgenic mouse model of Alzheimer's disease (AD).",,0.0,1.0
156,well-balanced diet,osteoporosis,"Health claims describe the relation between a food substance and the risk of disease, e.g., ""Adequate calcium and vitamin D throughout life, as part of a well-balanced diet, may reduce the risk of osteoporosis.",DOID:11476,0.0,1.0
157,almond,allergy,Oral food challenges have demonstrated that diagnosis of almond allergy based on extract-sIgE tests display low specificity.,,1.0,0.0
158,ginger,ailments,Ginger (from the rizhome of Zingiber officinale Roscoe) has been widely used in ethnomedicine for the cure of several ailments.,,0.0,1.0
159,ammonia,respiratory symptoms,"High endotoxin, ammonia, and dust levels contribute to acute and chronic respiratory symptoms in people who work in these settings.",,1.0,0.0
160,cheese,allergic,"Dairy food applications include the use of different enzymes, such as protease, to lessen the allergic properties of bovine milk products and lipase to improve the flavor of the cheese.",,0.0,0.0
161,beer,memory impairment,"We have previously demonstrated that iso-ÃÂÃÂÃÂÃÂ±-acids (IAAs), the hop-derived bitter components in beer, improve memory impairment in aged and Alzheimer's disease mouse models.",,0.0,1.0
162,trigonella foenum-graecum,hypoglycemic,"Trigonella foenum-graecum (fenugreek) has been reported to have hypoglycemic, hypocholesterolemic, hyperinsulinemic and anti-diabetic properties.",,1.0,0.0
163,olives,inflammation,"Consumption of olives (Olea europaea L.), including table olives and oil, is associated with low incidence of inflammation-related diseases.",,0.0,1.0
164,improved nutrition,inflammation,"The nutrition pyramid described in our narrative review is hypothetical, even in light of several limitations of the present review; the main limitation is the fact that to date there are no randomized controlled trials in the literature clearly showing that improved nutrition, via the regulation of carbon dioxide produced/oxygen consumed, inflammation and oxidative stress, improves symptoms and/or progression of COPD.",,0.0,1.0
165,processed meat,type ii diabetes,"The intake of processed meat has been associated with several adverse health outcomes such as type II diabetes and cancer; however, the mechanisms are not fully understood.",DOID:9352,1.0,0.0
166,chickens,hpai,Outbreaks of highly pathogenic avian influenza (HPAI) virus subtype H7N3 have been occurring in commercial chickens in Mexico since its first introduction in 2012.,,0.0,0.0
167,nutrition,ad,"Accumulating evidence suggests that nutrition (e.g., via fruit, vegetables, fish) is important for optimizing cognition and reducing risk of AD.",,0.0,1.0
168,fruits,allergies,"Recently, the prevalence of food allergies during childhood is increasing, with fruits being common allergens.",,1.0,0.0
169,cigarette smoke,neurological diseases,"Exposure to cigarette smoke (CS) is associated with an increased risk of several neurological diseases such as stroke, Alzheimer's disease, and dementia.",,1.0,0.0
170,ultra-processed products ( up ),arterial hypertension,"The consumption of ultra-processed products (UP) is associated with many diseases in the adult, such as arterial hypertension, diabetes, or asthma.",,1.0,0.0
171,salt,cerebrovascular disease,"The decreasing mortality rates from cerebrovascular disease are thought to reflect the increases in animal foods, milk, and dairy products and consequently in saturated fatty acids and calcium, together with a decrease in salt intake which may have led to a decrease in blood pressure.",DOID:6713,1.0,0.0
172,salt,stone recurrence in hypercalciuric renal stone formers,A diet based on a adequate intake of calcium (1000-1200 mg per day) and containment of animal protein and salt can decrease significantly urinary supersaturation for calcium oxalate and reduce the relative risk of stone recurrence in hypercalciuric renal stone formers.,,0.0,1.0
173,olive oil,osteoporosis,"The reported incidence of osteoporosis is lower in countries in which the Mediterranean diet predominates, and this apparent relationship may be mediated by the phenolic compounds present in olive oil.",DOID:11476,0.0,1.0
174,nickel,allergy,Nickel is the most common cause of contact allergy in the general population and the most frequently detected allergen in patients patch tested for suspected allergic contact dermatitis (ACD).,,1.0,0.0
175,vegetable,nephrolithiasis,Urinary hippuric acid (HA) and citrate can represent useful biomarkers of fruit and vegetable (FAV) intake in nephrolithiasis.,DOID:585,0.0,0.0
176,allium sativa ( garlic ),intra vascularhaemolytic anaemia,"Despite the high acceptability of Allium sativa (Garlic) as a remedy for many diseases as earlier stated by manyresearchers, previous studies have shown that chronic and unregulated consumption of garlic may result to intra vascularhaemolytic anaemia in rats.",DOID:2355,1.0,0.0
177,salt,dehydration,Fructose causes sodium retention and raises blood pressure and likely helped survival in the setting of dehydration or salt deprivation.,,0.0,0.0
178,low diet quality,micronutrient malnutrition,Low diet quality is a driver of general and micronutrient malnutrition in urban and rural areas.,,1.0,0.0
179,certain foods,obesity,"Portion sizes for certain foods have been increasing dramatically in recent years alongside obesity rates, concurring with the phenomenon of the portion size effect (more is consumed when more is offered).",DOID:9970,1.0,0.0
180,fresh tomato juice,hypocitraturic recurrent stone formers,"Fresh tomato juice may be useful in hypocitraturic recurrent stone formers due to its high content of citrate and magnesium, and low content of sodium and oxalate.",,0.0,1.0
181,dark tea,degenerative diseases,Dark tea has a significant effect on the prevention and treatment of age-related degenerative diseases.,DOID:1289,0.0,1.0
182,peanut,allergies,The characteristics of tree nuts (TNs) and peanut (PN) allergies vary in different regions of the world.,,1.0,0.0
183,dairy products,cardiometabolic diseases,Dairy products contain both beneficial and harmful nutrients in relation to cardiometabolic diseases.,,1.0,1.0
184,wheat,food allergy,"Food allergy is a common disease caused by the intake of allergen-containing foods, such as milk, eggs, peanuts, and wheat.",,1.0,0.0
185,eicosapentaenoic acid,alzheimer's disease,"Abundant studies have highlighted the protective effects of docosahexaenoic acid (DHA), in the form of glycerolipids (glycerophosphatides and triglycerides) and DHA-ethyl esters (DHA-EE) in Alzheimer's disease (AD); however, eicosapentaenoic acid (EPA) has rarely been implicated.",DOID:10652,0.0,0.0
186,milk,lactose intolerance,"Overall, our findings indicate that fermented curly kale juice may become popular in the functional food sector, especially among vegetarians and consumers with lactose intolerance or allergy to milk proteins.",DOID:10604,0.0,0.0
187,eggs,cognitive decline,"There is little information about the associations of intakes of cholesterol and eggs, a major source of dietary cholesterol, with the risk of cognitive decline in general populations or in carriers of apolipoprotein E ÃÂÃÂÃÂÃÂ4 (APO-E4), a major risk factor for dementia.",,0.0,0.0
188,fish oil,alzheimer's disease,Long-term fish oil (FO) supplementation is able to improve Alzheimer's disease (AD) pathology.,DOID:10652,0.0,1.0
189,contaminated food and water,infections,"The infections are transmitted from contaminated food and water, through the air, direct contact, or by insects.",,0.0,0.0
190,increased olive oil consumption,cardiovascular disease,"Increased olive oil consumption is implicated in a reduction in cardiovascular disease, rheumatoid arthritis, and, to a lesser extent, a variety of cancers.",,0.0,1.0
191,milk,inflammatory bowel disease,"A misconception that milk and lactose intolerance increases disease activity in inflammatory bowel disease leads to the exclusion of dietary dairy products, and patients are at an increased risk of low bone mineral density.",DOID:0050589,0.0,0.0
192,buckwheat flour,allergy to buckwheat,"Three cooks, two bakers, and a worker in a grocery store were occupationally exposed to buckwheat flour and developed immediate allergy to buckwheat, which was confirmed by skin prick testing and measurement of specific immunoglobulin E antibodies.",,1.0,0.0
193,noni fruit juice,rheumatoid arthritis,"However, the validity of noni fruit juice as a treatment for rheumatoid arthritis (RA), an autoimmune disorder, has not been confirmed yet.",DOID:7148,0.0,0.0
194,chickens,esophageal trichomoniasis,Esophageal trichomoniasis has been rarely reported in chickens.,,0.0,0.0
195,dark chocolate,t2d,"While it could be suggested that daily consumption of flavanols from cocoa or dark chocolate would constitute a potential preventive tool useful for the nutritional management of T2D, this recommendation should be cautious since most of commercially available soluble cocoa products or chocolates contain low amount of flavanols and are rich in sugar and calories that may aggravate glycaemic control in T2D patients.",,0.0,1.0
196,chicken,cholera,"In the previous study, a capsular serotype A strain GX-Pm was isolated from the liver of a chicken, which died during an outbreak of fowl cholera in 2011.",DOID:1498,0.0,0.0
197,tea,osteoporosis,"Tea drinking has positive effects on bone health and may prevent and treat osteoporosis, especially in older and postmenopausal women.",DOID:11476,0.0,1.0
198,certain foods,asthma,Consumption of certain foods during pregnancy has been shown to have beneficial effects on childhood asthma and allergic disease development and aggravation.,DOID:2841,0.0,1.0
199,micronutrient powders,anaemia,"Home fortification with micronutrient powders (MNP) has been shown to reduce anaemia, with high overall acceptability and adherence, but there is limited evidence from West Africa.",DOID:2355,0.0,1.0
200,korean wild boar ( sus scrofa coreanus),mycobacterium tuberculosis infection,"Here, we report the first case of Mycobacterium tuberculosis infection in a Korean wild boar ( Sus scrofa coreanus).",,0.0,0.0
201,walnut,allergic reactions,"Jug r 1, the major allergen of walnut, triggers severe allergic reactions through epitopes.",,1.0,0.0
202,vegetable-based diet,vcind,"A high level of education, manual-work, low level of alcohol use, regular health checks, a vegetable-based diet, and more fruit and milk were protective factors for VCIND.",,0.0,1.0
203,welsh onion,abdominal pain,"Allium fistulosum (Welsh onion) is a traditional medicinal plant used for the treatment of colds, influenza, abdominal pain, headache, and heart disease.",,0.0,1.0
204,chocolate,chronic diseases,Evidence for the association between chocolate intake and risk of chronic diseases is inconclusive.,,0.0,0.0
205,garlic,cancers,There is a strong belief that garlic has medicinal properties and may even reduce the risk of developing certain cancers including those of the gastrointestinal tract.,DOID:162,0.0,1.0
206,milk,airway obstruction,"The hypothesis that vitamin A, or foods rich in vitamin A such as milk, protects against the development of airway obstruction was tested in a subsample of data from the 1971-1975 National Health and Nutrition Examination Survey.",,0.0,1.0
207,chicken peripheral,infection,"In this study, the HD11 chicken macrophage cell line and chicken peripheral blood mononuclear cell-derived macrophages (PBMCs-MÃÂÃÂÃÂÃÂ) were infected with IBV at multiplicity of infection (MOI) of 10.",,0.0,0.0
208,cigarette smoke,heart disease,"Cigarette smoke (CS) causes about 480,000 deaths each year worldwide and is well-known to have harmful effects on the human body, leading to heart disease, stroke, lung cancer, and cardiovascular problems.",DOID:114,1.0,0.0
209,experimental drug,ra,"As only 10% of experimental drug candidates for treatment of RA that enter phase I trials are eventually registered by the Food and Drug Administration, there is an immediate need for translational tools to facilitate early decision-making in drug development.",,0.0,1.0
210,oncorhynchus kisutch,anaemia,"PRV-3 has recently been associated with a disease in rainbow trout (Oncorhynchus mykiss) characterized by anaemia, heart and red muscle pathology; to jaundice syndrome in coho salmon (Oncorhynchus kisutch).",DOID:2355,0.0,0.0
211,red yeast rice,blood stasis,Red yeast rice is a food fermentation product widely used to promote blood circulation and remove blood stasis.,,0.0,1.0
212,fruits,asthma,"fruits (CU) has long been used as a traditional medicine that has therapeutic effects against pathogenic diseases, including asthma, vomiting, dyspepsia, blood circulation disorders, and various types of cancer.",DOID:2841,0.0,1.0
213,chicken meat,osteoporosis,Proteins and peptides in chicken meat and bones are known for being rich in functional and nutritional ingredients for the improvement of osteoporosis.,DOID:11476,0.0,1.0
214,breast milk iga,nv infection,"Humoral and fecal immunoglobulin A (IgA) responses have been correlated with protection against NV; however, the role of breast milk IgA against NV infection and associated diarrhea is still unknown.",,0.0,0.0
215,whole milk,hypertension,"Calcium, bioactive peptides and as yet unidentified components in whole milk may protect from hypertension, and folic acid, vitamin B6 (pyridoxine) and B12 (cyanocobalamin) or other unidentified components of skim milk may contribute to low homocysteine levels.",DOID:10763,0.0,1.0
216,glutathione-mediated detoxification,mitochondrial dysfunction,"Transcriptome pathway analysis highlighted mitochondrial dysfunction and altered fatty acid oxidation as key molecular perturbations associated with zileuton exposure, and suggested that interindividual differences in cytochrome P450 metabolism, glutathione-mediated detoxification, and farnesoid X receptor signaling may contribute to zileuton-induced liver injury (ZILI).",,0.0,0.0
217,peanut,food allergies,"The basophil activation test (BAT) has been reported to be useful for the diagnosis of various food allergies, such as allergy to peanut, but not to fish.",,0.0,0.0
218,high carbohydrate diets,nephrolithiasis,"Based on these observations, some investigators believe that long term intake of high carbohydrate diets may increase the risk of nephrolithiasis and possibly osteoporosis.",DOID:585,1.0,0.0
219,sugar,ad,"The origin of AD is multifactorial, and many metabolic disorders originating from overconsumption of fat, cholesterol, and sugar are associated with higher risk of AD later in life.",,1.0,0.0
220,bread,glycemic,"Bread is a staple food for majority of the people worldwide, but it has a high glycemic effect.",,1.0,0.0
221,calcium,hypercalciuria,"Although calcium supplementation can cause hypercalciuria, the risk of nephrolithiasis has been shown to decrease rather than increase among subjects who had a higher calcium intake.",,1.0,0.0
222,zingiber officinale,type 2 diabetes mellitus,Zingiber officinale is being used as diet-based therapy because of its wide therapeutic potential in type 2 diabetes mellitus (T2DM) and against diabetic complications by directly interacting with different molecular and cellular pathways that provoke the pathogenesis of T2DM.,DOID:9352,0.0,1.0
223,grass pea,allergic reactions,"although grass pea belongs to the leguminoseae family, allergic reactions to its flour have rarely been described.",,0.0,0.0
224,malnutrition,cardiovascular disease,"Malnutrition is a condition most commonly arising from the inadequate consumption of nutrients necessary to maintain physiological health and is associated with the development of cardiovascular disease, osteoporosis, and sarcopenia.",,1.0,0.0
225,tea polyphenols,cancer,"Tea polyphenols are known to prevent various ailments like cancer, atherosclerosis, hypertension and diabetes.",,0.0,1.0
226,chocolate,obesity,We did not find evidence that rat strains with a genetic predisposition to obesity differed in their ability to experience reward from chocolate (in a condition place preference task).,DOID:9970,0.0,0.0
227,millet,urinary tract stones,"The predominant urinary tract stones in the tribal Satpura belt are bladder stones and may be related to poor nutrition, low socioeconomic status and consumption of bajra (millet) as staple food as found in this region (93.5%).",,1.0,0.0
228,alcoholic beverages,alcohol abuse,"The indulgence of alcoholic beverages in moderation is contrasted by the inestimable risks and dangers of alcohol abuse with many cardiovascular implications, such as cardiac arrhythmia, cardiomyopathy and arterial hypertension.",DOID:1574,0.0,0.0
229,garlic,colon carcinogenesis,"Diallyl disulfide (DADS), a sulfur compound derived from garlic, has been shown to have protective effects against colon carcinogenesis in several studies performed in rodent models.",,0.0,1.0
230,eggs,allergic reaction,"Eggs and their derived products are common foods that can induce food allergic reaction, especially in children.",,1.0,0.0
231,extra virgin olive oil,neurodegenerative disorders,"In the central nervous system (CNS), extra virgin olive oil (EVOO) produces interesting effects against neurodegenerative disorders including Alzheimer's disease (AD).",,0.0,1.0
232,wheat flour,anaemia,Fortification of wheat flour is deemed a useful strategy to reduce anaemia in populations.,DOID:2355,0.0,1.0
233,dairy cows,mastitis,Staphylococcus aureus is one of the most common mastitis-causing bacteria in dairy cows.,DOID:10690,0.0,0.0
234,fruit,urolithiasis,"Regarding food, intake of fruit correlated negatively with the incidence of urolithiasis (r = -0.721, p = 0.008), while intake of eggs (r = 0.537, p = 0.072) and sugar (r = 0.475, p = 0.119) tended to positively correlate with incidence.",DOID:0080653,0.0,1.0
235,reduction of food consumption,infectious bronchitis,"All of the diseased chicks showed some or all of the clinical signs of infectious bronchitis including gasping, coughing and nasal discharge, wet eyes, swollen sinuses, reduction of food consumption and weight gain.",,0.0,0.0
236,capsicum,hyperglycemia,All evaluated pepper (Capsicum) genus exhibited both anti-hyperglycemia and anti-hypertension potential.,DOID:4195,0.0,1.0
237,milk,allergies,"Allergies to peanuts are particularly worrisome as unlike allergies to other allergenic foods, such as milk and egg, which are commonly outgrown by 5 or 10 years of age, 80% of peanut allergies persist into adulthood.",,1.0,0.0
238,breadfruit,diabetes,Breadfruit is a traditional staple crop from Pacific islands with the potential to improve worldwide food security and mitigate diabetes.,DOID:9351,0.0,1.0
239,fruit,coronary heart disease,Fruit and vegetable (FV) intake is recommended for the prevention of coronary heart disease (CHD).,DOID:3393,0.0,1.0
240,ginger root,carcinogenic,"Zingerone, a major component found in ginger root, has been known as anti-mutagenic and anti-carcinogenic activities that are often associated with its anti-oxidative and anti-inflammatory activities.",,0.0,1.0
241,butter flavoring additive , diacetyl ( da ),bronchiolitis obliterans,"The butter flavoring additive, diacetyl (DA), can cause bronchiolitis obliterans (BO) by inhalation.",DOID:2799,1.0,0.0
242,chicken,avian infectious bronchitis,Avian infectious bronchitis virus (IBV) and avian pathogenic Escherichia coli (APEC) are two important respiratory pathogens in the chicken.,,0.0,0.0
243,wheat,baker's rhinitis,Baker's rhinitis is a kind of occupational allergic rhinitis mainly caused by intranasal exposure to wheat and/or rye flour in bakery workers.,,1.0,0.0
244,blueberries,obesity-linked metabolic diseases,"Blueberry consumption can prevent obesity-linked metabolic diseases, and it has been proposed that the polyphenol content of blueberries may contribute to these effects.",,0.0,1.0
245,cereals,hypersensitivity,Hypersensitivity to cereals may occur via inhalation or ingestion.,DOID:1205,1.0,0.0
246,gambogic acid,osteoporosis,"The nutraceuticals identified from dietary agents such as butein, cardamonin, coronarin D curcumin, diosgenin, embelin, gambogic acid, genistein, plumbagin, quercetin, reseveratrol, zerumbone and more, can modulate cell signaling pathways and reverse/slow down osteoporosis.",DOID:11476,0.0,1.0
247,grape seed procyanidin b2 ( gspb2 ) ,hepatic damage of diabetes ,Our previous studies have verified that grape seed procyanidin B2 (GSPB2) played a protective effect on hepatic damage of diabetes.,,0.0,1.0
248,fruit consumption,cardiovascular disease,"In Western populations, a higher level of fruit consumption has been associated with a lower risk of cardiovascular disease, but little is known about such associations in China, where the consumption level is low and rates of stroke are high.",,0.0,1.0
249,breast milk,infections,Breast milk is not only a completely adapted nutrition source for the newborn but also an impressive array of immune-active molecules that afford protection against infections and shape mucosal immune responses.,,0.0,1.0
250,diets rich in (poly)phenols,cardiovascular disorders,Diets rich in (poly)phenols are associated with a reduced reduction in the incidence of cardiovascular disorders.,,0.0,1.0
251,eucalyptus oil,bronchitis,"Eucalyptol (1,8-cineole), the major constituent of eucalyptus oil (EO), was used in traditional medicine as a remedy for colds and bronchitis.",DOID:6132,0.0,1.0
252,curcuma longa,wound,"Curcumin is a naturally occurring polyphenol found in Curcuma longa with multiple therapeutic properties, such as anti-inflammatory, wound healing and anti-cancer effects.",,0.0,1.0
253,fruit of alpinia oxyphylla,dementia,The fruit of Alpinia oxyphylla is often used in traditional Chinese medicine to treat dementia and memory defects.,DOID:1307,0.0,1.0
254,mushrooms,alzheimer's disease,Mushrooms have been reported in folklore for the management of Alzheimer's disease (AD) and diabetes with limited scientific prove.,DOID:10652,0.0,1.0
255,dietary sugar,dental caries,"Dietary sugar, especially in liquid form, increases risk of dental caries, adiposity, and type 2 diabetes.",DOID:216,1.0,0.0
256,free fatty acid oxidation,glycogenolysis,"The autocrine, paracrine, and endocrine actions of myokines include regulation of energy expenditure, insulin sensitivity, lipolysis, free fatty acid oxidation, adipocyte browning, glycogenolysis, glycogenesis, and general metabolism.",,0.0,0.0
257,olive oil consumption,osteoporosis,Rates of osteoporosis are significantly lower in regions of the world where olive oil consumption is a dietary cornerstone.,DOID:11476,0.0,1.0
258,extra-virgin olive oil,alzheimer's disease,Previous evidence suggested that extra-virgin olive oil (EVOO) is linked to attenuating amyloid-ÃÂÃÂÃÂÃÂ² (AÃÂÃÂÃÂÃÂ²) pathology and improving cognitive function in Alzheimer's disease (AD) mouse models.,DOID:10652,0.0,1.0
259,beer consumed,kidney stones,"Beer consumption was inversely associated with risk of kidney stones; each bottle of beer consumed per day was estimated to reduce risk by 40% (RR = 0.60, 95% CI 0.47-0.76).",DOID:585,0.0,1.0
260,aerosolized crab allergens,asthma,Aerosolized crab allergens are suspected etiologic agents for asthma among crab-processing workers.,DOID:2841,1.0,0.0
261,malnutrition,cerebral palsy,Children with cerebral palsy exhibit eating problems due to the effect on the anatomical and functional structures involved in the eating function resulting in malnutrition.,DOID:1969,0.0,0.0
262,maize,neural tube defects,Wheat and maize (corn) flour are staple crops consumed widely throughout the world and have been fortified with folic acid in over 80 countries to prevent neural tube defects.,DOID:0080074,0.0,1.0
263,flour,occupational diseases,Bakers are exposed daily to flour and may be susceptible to immunologic occupational diseases.,,1.0,0.0
264,folic acid,neural tube birth defect,Periconceptional intake of folic acid is known to reduce a woman's risk of having an infant affected by a neural tube birth defect (NTD).,,0.0,1.0
265,rice fortification,micronutrient deficiencies,Rice fortification with vitamins and minerals has the potential to increase the nutrition in rice-consuming countries where micronutrient deficiencies exist.,,0.0,1.0
266,chemotherapy drugs,hypersensitivity,"New symptoms of hypersensitivity caused by chemotherapy drugs, monoclonal antibodies, and biological agents have been suggested to be recognized as anaphylaxis phenotypes.",DOID:1205,1.0,0.0
267,tea,type 2 diabetes,"Tea is cultivated around the world, and its polysaccharide components are reported to be an effective approach for managing type 2 diabetes with fewer adverse effects than medication.",,0.0,1.0
268,water,cholera,"Pasteurella multocida causes fowl cholera, a highly contagious and severe disease in chickens and water fowls.",DOID:1498,0.0,0.0
269,milk,chronic diseases,"Milk and milk product intake is associated with better diet quality and has been associated with a reduced risk of chronic diseases or conditions including hypertension, cardiovascular disease, metabolic syndrome, Type 2 Diabetes and osteoporosis.",,0.0,1.0
270,alcohol,carcinogenic,"High consumption of red meat, which is carcinogenic to humans, and misuse or abuse of alcohol drinking increase premature death and shortened life expectancy.",,0.0,0.0
271,cherries,gout,"Cherries, which are rich in anti-inflammatory and antioxidative bioactive compounds, are proposed to be efficacious in preventing and treating gout, but recommendations to patients are conflicting.",DOID:13189,0.0,1.0
272,blood sugar,fatigue,"Numerous studies suggested that maca may serve effects in resisting oxidation, fatigue resistance, raising fertility, regulating endocrine, enhancing immunity, tumour suppression, treating osteoporosis, regulate blood sugar and protection of nervous system.",,0.0,0.0
273,coffee consumption,type 2 diabetes,The association between coffee consumption and the risk of type 2 diabetes may vary by genetic variants.,DOID:9352,0.0,0.0
274,oolong tea,cancer,"Evidence regarding the health benefits of oolong tea consumption is accumulating, and tea polyphenols have various pharmacological properties such as anti-cancer and anti-diabetes effects.",,0.0,1.0
275,plant-based foods and beverages,vascular damage,"Flavonoids, compounds found in plant-based foods and beverages, might ameliorate vascular damage and atherosclerosis.",,0.0,1.0
276,indian yellow curry,cancer,"Curcumin, a compound found in Indian yellow curry, is known to possess various biological activities, including anti-oxidant, anti-inflammatory, and anti-cancer activities.",,0.0,1.0
277,restrictive diets,inflammatory bowel diseases,"Children with inflammatory bowel diseases (IBDs) are at risk of developing nutrition deficiencies, particularly because of reduced intake, restrictive diets, malabsorption, and excessive nutrient loss.",DOID:0050589,0.0,0.0
278,sugar,bone fracture,"There are limited data available regarding relationships between bone fracture history and calcium intake, sugar sweetened beverages (SSBs) intake, vitamin D status, physical activity (PA), ethnicity, and body composition in New Zealand (NZ) children.",,0.0,0.0
279,chicken,pasteurellosis,"In the immunohistochemical assay, an antiserum recognizing the somatic serotype 11 antigen generated from chicken could specifically detect P. multocida, indicating that the antiserum for somatic serotyping was useful for immunohistochemical diagnosis of rabbit pasteurellosis.",DOID:11055,0.0,0.0
280,food additives,senile dementia of alzheimer 's type,"Aluminum is a constituent of antacids, deodorants, kitchenware and food additives which allows easy access into the body posing risk to development of senile dementia of Alzheimer's type.",,1.0,0.0
281,folic acid,stroke,"The CSPPT (China Stroke Primary Prevention Trial) demonstrated a significant risk reduction of first stroke in hypertensive patients treated with enalapril plus folic acid compared with those with enalapril alone, but the lifetime stroke-free survival associated with the treatment is unknown.",DOID:6713,0.0,1.0
282,extra-virgin olive oil,multiple diseases,"Epidemiological and clinical studies compellingly showed the ability of Mediterranean diet rich in extra-virgin olive oil (EVOO) to reduce multiple diseases such as cancer, cardiovascular diseases, and aging cognitive functions decline.",,0.0,1.0
283,nutrition,allergy,"This review highlights developments in allergy, gastroenterology, infectious diseases, neonatology, nutrition, oncology and respiratory tract illnesses.",,0.0,0.0
284,egg consumption,coronary heart disease,"The associations of egg consumption with total, coronary heart disease (CHD), and stroke mortality are poorly understood.",DOID:3393,0.0,0.0
285,apple juice,cancer,"The present review will summarize the current knowledge on potential cancer preventive effects of apples, apple juice and apple extracts (jointly designated as apple products).",,0.0,0.0
286,alcohol,osteoporosis,"The results reported in this study show the influence of gender, place of residence, smoking, consumption of alcohol, arthroscopy surgery, osteoporosis, and rheumatoid arthritis on the Fe, Ni, Mo, and V concentrations in the studied structures of the knee joint.",DOID:11476,0.0,0.0
287,chicken,lung injury,The pathogenic mechanism of chicken lung injury caused by the bacterium is unclear.,,0.0,0.0
288,extra virgin olive oil,human diseases,"Among the phenolic compounds extracted from extra virgin olive oil, oleocanthal (1) has attracted considerable attention in the modulation of many human diseases, such as inflammation and Alzheimer's disease (AD).",,0.0,1.0
289,flour,asthma,Asthma could be induced by inhaled flour or by exposure to allergens present in bakery products.,DOID:2841,1.0,0.0
290,processed foods,autoimmune diseases,"Among these, dietary habits, and especially an excessive salt, typical of processed foods, has been implicated in the development of autoimmune diseases.",DOID:417,1.0,0.0
291,whey protein (wp),hypertension,"Besides their nutritional value, whey protein (WP) peptides are food components retaining important pharmacological properties for controlling hypertension.",DOID:10763,0.0,1.0
292,wheat,coeliac disease,"Wheat is one of the major crops grown, processed and consumed by humankind and is associated with both intolerances (notably coeliac disease) and allergies.",DOID:10608,1.0,0.0
293,chicken,hpaivs,"In Japan during the 2016-2017 winter season, clade 2.3.4.4 highly pathogenic avian influenza viruses (HPAIVs) of the H5N6 subtype caused 12 outbreaks in chicken and Muscovy duck farms.",,0.0,0.0
294,salt,calcium oxalate urolithiasis,Dietary excesses in animal protein and/or salt have been implicated as risk factors in calcium oxalate urolithiasis.,DOID:0080653,1.0,0.0
295,various foods,neurodegenerative diseases,"Many reports have indicated that luteolin, a flavone found in various foods, has preventive and therapeutic value for neurodegenerative diseases including AD.",DOID:1289,0.0,1.0
296,beer,ad,"High levels of consumption (>92 times/month) of fermented foods such as doenjang, chungkookjang, kimchi, fermented seafood, makgeolli, and beer were associated with a lower prevalence of AD (OR, 0.56; 95% confidence interval [CI], 0.37-0.84).",,0.0,1.0
297,black mulberry fruits,cardiovascular diseases,Black mulberry fruits are traditionally used in Uyghur folk medicine for the prevention and treatment of cardiovascular diseases in southern Xinjiang region of China.,,0.0,1.0
298,cinnamon,obesity,"Other structurally homologous nutraceuticals, derived from red chili, cinnamon, cloves, black pepper, and ginger, also exhibit effects against obesity and insulin resistance.",DOID:9970,0.0,1.0
299,star anise,skin inflammation,"f. (star anise) has been used in traditional medicine for treatment of skin inflammation, rheumatism, asthma, and bronchitis.",DOID:2723,0.0,1.0
300,zingiber officinale,hyperglycemia,"[6]-Gingerol, a major component of Zingiber officinale, was previously reported to ameliorate hyperglycemia in type 2 diabetic mice.",DOID:4195,0.0,1.0
301,wheat,baker's asthma,"Wheat is a potent allergen source and is one of the causes of baker's asthma, food and pollen allergy.",,1.0,0.0
302,ginger,"diabetic liver, kidney, eye, and neural system complications","Ginger has shown prominent protective effects on diabetic liver, kidney, eye, and neural system complications.",,0.0,1.0
303,beer,alzheimer's disease,"We have previously demonstrated that the consumption of iso-ÃÂÃÂÃÂÃÂ±-acids (IAA), which are hop-derived bitter compounds in beer, prevents the formation of disease pathology in a transgenic mouse model of Alzheimer's disease (AD).",DOID:10652,0.0,1.0
304,high fructose corn syrup sweetened soft drink ,asthma,High fructose corn syrup (HFCS) sweetened soft drink intake has been linked with asthma in US high-schoolers.,DOID:2841,1.0,0.0
305,yeast,bronchitis,64 individuals having occupational chronic bronchitis and 41 healthy individuals--both working at yeast hydrolysis production--demonstrated increase in B immunity with higher spontaneous and antigen-stimulated Ig synthesis.,DOID:6132,0.0,0.0
306,onion,dermatitis,"Onion (Allium cepa) handling can induce contact dermatitis, rhinoconjunctivitis and asthma.",DOID:2723,1.0,0.0
307,peanut,eczema,"Eczema ever at age 10 years was associated with an increased risk of physician-diagnosed food allergy (5.78, 3.04-9.52), with the highest risk of cashew (7.36, 3.20-16.94) and peanut (5.58, 3.08-10.10) food allergy.",DOID:2723,0.0,0.0
308,extra-virgin olive oil,vascular disease,"The authors base their hypothesis on meta-analyses of epidemiological data, numerous experimental studies, and a comprehensive review of the mechanisms of action of extra-virgin olive oil and its components in the prevention of vascular disease.",DOID:178,0.0,1.0
309,mediterranean diet,cardiovascular diseases,The Mediterranean diet has been associated with lower mortality and lower risk of cardiovascular diseases and cancer.,,0.0,1.0
310,food additives,foodallergies,"The article presents data on causally significant food allergens and food additives that cause the development of food allergies, as well as information on the main food proteins and their components involved in the formation of cross-reactivity.",,1.0,0.0
